trip_id,stop_id
6512509-CT-17OCT-Caltrain-Sunday-01,70172
6512509-CT-17OCT-Caltrain-Sunday-01,70192
6512509-CT-17OCT-Caltrain-Sunday-01,70202
6512509-CT-17OCT-Caltrain-Sunday-01,70212
6512509-CT-17OCT-Caltrain-Sunday-01,70222
6512509-CT-17OCT-Caltrain-Sunday-01,70232
6512509-CT-17OCT-Caltrain-Sunday-01,70242
6512509-CT-17OCT-Caltrain-Sunday-01,70262
6512510-CT-17OCT-Caltrain-Sunday-01,70012
6512510-CT-17OCT-Caltrain-Sunday-01,70022
6512510-CT-17OCT-Caltrain-Sunday-01,70032
6512510-CT-17OCT-Caltrain-Sunday-01,70042
6512510-CT-17OCT-Caltrain-Sunday-01,70052
6512510-CT-17OCT-Caltrain-Sunday-01,70062
6512510-CT-17OCT-Caltrain-Sunday-01,70072
6512510-CT-17OCT-Caltrain-Sunday-01,70082
6512510-CT-17OCT-Caltrain-Sunday-01,70092
6512510-CT-17OCT-Caltrain-Sunday-01,70102
6512510-CT-17OCT-Caltrain-Sunday-01,70112
6512510-CT-17OCT-Caltrain-Sunday-01,70122
6512510-CT-17OCT-Caltrain-Sunday-01,70132
6512510-CT-17OCT-Caltrain-Sunday-01,70142
6512510-CT-17OCT-Caltrain-Sunday-01,70152
6512510-CT-17OCT-Caltrain-Sunday-01,70162
6512510-CT-17OCT-Caltrain-Sunday-01,70172
6512510-CT-17OCT-Caltrain-Sunday-01,70192
6512510-CT-17OCT-Caltrain-Sunday-01,70202
6512510-CT-17OCT-Caltrain-Sunday-01,70212
6512510-CT-17OCT-Caltrain-Sunday-01,70222
6512510-CT-17OCT-Caltrain-Sunday-01,70232
6512510-CT-17OCT-Caltrain-Sunday-01,70242
6512510-CT-17OCT-Caltrain-Sunday-01,70262
6512511-CT-17OCT-Caltrain-Sunday-01,70012
6512511-CT-17OCT-Caltrain-Sunday-01,70022
6512511-CT-17OCT-Caltrain-Sunday-01,70032
6512511-CT-17OCT-Caltrain-Sunday-01,70042
6512511-CT-17OCT-Caltrain-Sunday-01,70052
6512511-CT-17OCT-Caltrain-Sunday-01,70062
6512511-CT-17OCT-Caltrain-Sunday-01,70072
6512511-CT-17OCT-Caltrain-Sunday-01,70082
6512511-CT-17OCT-Caltrain-Sunday-01,70092
6512511-CT-17OCT-Caltrain-Sunday-01,70102
6512511-CT-17OCT-Caltrain-Sunday-01,70112
6512511-CT-17OCT-Caltrain-Sunday-01,70122
6512511-CT-17OCT-Caltrain-Sunday-01,70132
6512511-CT-17OCT-Caltrain-Sunday-01,70142
6512511-CT-17OCT-Caltrain-Sunday-01,70152
6512511-CT-17OCT-Caltrain-Sunday-01,70162
6512511-CT-17OCT-Caltrain-Sunday-01,70172
6512511-CT-17OCT-Caltrain-Sunday-01,70192
6512511-CT-17OCT-Caltrain-Sunday-01,70202
6512511-CT-17OCT-Caltrain-Sunday-01,70212
6512511-CT-17OCT-Caltrain-Sunday-01,70222
6512511-CT-17OCT-Caltrain-Sunday-01,70232
6512511-CT-17OCT-Caltrain-Sunday-01,70242
6512511-CT-17OCT-Caltrain-Sunday-01,70262
6512512-CT-17OCT-Caltrain-Sunday-01,70012
6512512-CT-17OCT-Caltrain-Sunday-01,70022
6512512-CT-17OCT-Caltrain-Sunday-01,70032
6512512-CT-17OCT-Caltrain-Sunday-01,70042
6512512-CT-17OCT-Caltrain-Sunday-01,70052
6512512-CT-17OCT-Caltrain-Sunday-01,70062
6512512-CT-17OCT-Caltrain-Sunday-01,70072
6512512-CT-17OCT-Caltrain-Sunday-01,70082
6512512-CT-17OCT-Caltrain-Sunday-01,70092
